1	MARIA	447 686
2	ELISABETH	340 668
3	ANNA	304 000
4	KRISTINA	280 543
5	MARGARETA	244 641
6	EVA	200 882
7	LINNÉA	166 531
8	KARIN	161 897
9	BIRGITTA	159 159
10	MARIE	145 978
11	INGRID	111 657
12	SOFIA	102 653
13	MARIANNE	89 526
14	LENA	85 551
15	SARA	84 968
16	HELENA	82 673
17	KERSTIN	81 638
18	EMMA	76 579
19	JOHANNA	73 885
20	KATARINA	73 824
21	VIKTORIA	70 505
22	INGER	67 284
23	CECILIA	65 980
24	SUSANNE	63 132
25	ELIN	62 890
26	MONICA	61 861
27	THERESE	60 768
28	JENNY	60 508
29	HANNA	58 812
30	LOUISE	57 485
31	ANITA	56 307
32	CARINA	55 921
33	ANN	54 262
34	IRENE	54 186
35	IDA	53 534
36	LINDA	52 661
37	HELEN	52 291
38	GUNILLA	51 652
39	MALIN	49 831
40	VIOLA	49 803
41	ANNIKA	49 383
42	ULLA	49 274
43	ELSA	47 505
44	MATILDA	46 405
45	JOSEFIN	46 380
46	ULRIKA	45 210
47	INGEGERD	45 064
48	SOFIE	43 713
49	ALICE	43 126
50	ANETTE	42 788
51	JULIA	42 555
52	ASTRID	42 091
53	CAROLINE	40 332
54	ANNELI	39 635
55	EMELIE	39 228
56	KRISTIN	38 714
57	KAROLINA	38 078
58	AMANDA	37 668
59	LISA	37 515
60	BARBRO	37 438
61	ÅSA	37 372
62	CAMILLA	37 130
63	MADELEINE	36 967
64	LOVISA	36 762
65	ERIKA	35 416
66	SIV	35 159
67	MAJA	35 145
68	YVONNE	34 381
69	CHARLOTTE	34 170
70	AGNETA	34 109
71	RUT	32 736
72	SANDRA	32 606
73	BRITT	32 206
74	REBECCA	31 845
75	ISABELLE	31 682
76	ALEXANDRA	31 436
77	FRIDA	31 046
78	ELLINOR	30 603
79	GUN	30 595
80	EBBA	29 642
81	EMILIA	29 441
82	ELLEN	29 149
83	JESSICA	28 852
84	KLARA	28 699
85	OLIVIA	28 058
86	BERIT	27 635
87	MÄRTA	26 854
88	CHARLOTTA	26 703
89	AGNES	25 873
90	ANN-MARIE	24 946
91	INGA	24 503
92	SONJA	23 784
93	ELLA	23 658
94	ANN-CHRISTIN	23 481
95	PIA	23 449
96	FELICIA	23 235
97	MAJ	23 086
98	LILLY	22 798
99	NATHALIE	22 766
100	MONA	22 640
