1	KARL	341 187
2	ERIK	331 575
3	LARS	226 139
4	ANDERS	186 455
5	PER	181 851
6	MIKAEL	181 017
7	JOHAN	176 355
8	OLOF	143 401
9	NILS	140 589
10	JAN	125 957
11	GUSTAV	120 228
12	HANS	114 847
13	PETER	114 455
14	LENNART	107 473
15	FREDRIK	101 503
16	GUNNAR	100 155
17	THOMAS	99 015
18	SVEN	98 930
19	DANIEL	91 721
20	ALEXANDER	88 771
21	BENGT	86 674
22	BO	86 584
23	OSKAR	85 449
24	GÖRAN	76 969
25	ANDREAS	76 782
26	ÅKE	76 052
27	CHRISTER	75 766
28	STEFAN	74 924
29	MAGNUS	74 125
30	MARTIN	74 051
31	MOHAMED	69 394
32	JOHN	69 386
33	MATTIAS	69 138
34	MATS	67 772
35	HENRIK	65 174
36	JONAS	62 255
37	ULF	62 216
38	LEIF	62 147
39	BJÖRN	61 758
40	AXEL	61 214
41	CHRISTIAN	57 774
42	ROBERT	57 675
43	DAVID	57 554
44	VIKTOR	57 536
45	MARCUS	57 475
46	EMIL	56 589
47	NIKLAS	55 926
48	BERTIL	55 481
49	ARNE	54 399
50	PATRIK	53 389
51	INGEMAR	53 166
52	HÅKAN	51 926
53	CHRISTOFFER	51 881
54	RICKARD	51 317
55	KJELL	50 822
56	WILLIAM	49 721
57	JOAKIM	49 309
58	STIG	48 073
59	ROLF	47 865
60	WILHELM	47 822
61	FILIP	47 519
62	TOMMY	45 591
63	ROLAND	40 502
64	SIMON	40 164
65	SEBASTIAN	39 942
66	CLAES	39 488
67	ANTON	39 371
68	ROGER	37 622
69	KENT	35 865
70	INGVAR	34 665
71	ELIAS	33 425
72	JOHANNES	33 364
73	HUGO	33 362
74	JAKOB	33 170
75	TOBIAS	33 122
76	LUCAS	33 036
77	ADAM	32 740
78	JONATHAN	32 453
79	OVE	32 089
80	EMANUEL	31 786
81	KENNETH	31 312
82	ROBIN	30 347
83	JÖRGEN	30 095
84	ALI	28 756
85	KURT	27 084
86	OLIVER	26 987
87	JOSEF	26 515
88	RUNE	26 170
89	ISAK	25 434
90	GEORG	25 377
91	ARVID	25 302
92	LUDVIG	25 214
93	GÖSTA	24 790
94	LINUS	24 757
95	JOHNNY	24 637
96	ALBIN	24 178
97	OLLE	23 494
98	EDVIN	23 245
99	TORBJÖRN	22 867
100	DAN	22 771
